date,region,seller_type,year,month,sumOfLeads,ad_id
2019-01-12,Melaka,Private,2019,1,17354.701833862,1867
2019-01-12,Melaka,Pro,2019,1,11976.129896134,1543
2019-01-12,N. Sembilan,Private,2019,1,15802.719735216,1777
2019-01-12,N. Sembilan,Pro,2019,1,12826.31462174,1685
2019-01-12,Pahang,Private,2019,1,17549.874348024,1954
2019-01-12,Pahang,Pro,2019,1,5392.856345504,767
2019-01-12,Penang,Private,2019,1,34847.781040008,3867
2019-01-12,Penang,Pro,2019,1,25032.04398607,3495
2019-01-12,Perak,Private,2019,1,25834.741074724,2873
2019-01-12,Perak,Pro,2019,1,12290.269409974,1602
2019-01-12,Perlis,Private,2019,1,2836.064501058,316
2019-01-12,Perlis,Pro,2019,1,531.031255306,88
2019-01-12,Putrajaya,Private,2019,1,3226.329627344,373
2019-01-12,Putrajaya,Pro,2019,1,1912.315886482,240
2019-01-12,Sabah,Private,2019,1,34436.202856118,3878
2019-01-12,Sabah,Pro,2019,1,16151.543016986,2081
2019-01-12,Sarawak,Private,2019,1,12284.925961882,1532
2019-01-12,Sarawak,Pro,2019,1,6440.422450928,1023
2019-01-12,Selangor,Private,2019,1,118262.956330104,13197
2019-01-12,Selangor,Pro,2019,1,151449.746468092,20509
2019-01-12,Terengganu,Private,2019,1,22170.738327762,2531
2019-01-12,Terengganu,Pro,2019,1,7029.827167214,886
2019-01-13,,Pro,2019,1,8,1
2019-01-13,Johor,Private,2019,1,43828.350341224,4882
2019-01-13,Johor,Pro,2019,1,45576.981391124,6143
2019-01-13,Kedah,Private,2019,1,27801.019779494,2984
2019-01-13,Kedah,Pro,2019,1,14269.299209052,1834
2019-01-13,Kelantan,Private,2019,1,36318.414259916,4218
2019-01-13,Kelantan,Pro,2019,1,13294.739156458,1561
2019-01-13,Kuala Lumpur,Private,2019,1,75547.990562874,7921
2019-01-13,Kuala Lumpur,Pro,2019,1,85241.092165396,11329
2019-01-13,Labuan,Private,2019,1,213.295145212,41
2019-01-13,Labuan,Pro,2019,1,156.08041241,11
2019-01-13,Melaka,Private,2019,1,16918.438430538,1892
2019-01-13,Melaka,Pro,2019,1,10639.649110386,1385
2019-01-13,N. Sembilan,Private,2019,1,16684.337602448,1899
2019-01-13,N. Sembilan,Pro,2019,1,13722.586826324,1717
2019-01-13,Pahang,Private,2019,1,17655.881584364,1938
2019-01-13,Pahang,Pro,2019,1,5154.260912788,715
2019-01-13,Penang,Private,2019,1,34826.686168172,3841
2019-01-13,Penang,Pro,2019,1,24085.225815082,3400
2019-01-13,Perak,Private,2019,1,27875.210505536,2935
2019-01-13,Perak,Pro,2019,1,13037.965020678,1686
2019-01-13,Perlis,Private,2019,1,2675.728014912,339
2019-01-13,Perlis,Pro,2019,1,468.891666746,78
2019-01-13,Putrajaya,Private,2019,1,3518.385148902,411
2019-01-13,Putrajaya,Pro,2019,1,1763.853957448,246
2019-01-13,Sabah,Private,2019,1,32038.021874776,3720
2019-01-13,Sabah,Pro,2019,1,15065.050580688,2000
2019-01-13,Sarawak,Private,2019,1,12220.855979754,1558
2019-01-13,Sarawak,Pro,2019,1,6843.30899705,1021
2019-01-13,Selangor,Private,2019,1,126456.127363092,13776
2019-01-13,Selangor,Pro,2019,1,149560.631199258,19825
2019-01-13,Terengganu,Private,2019,1,22805.548914056,2609
2019-01-13,Terengganu,Pro,2019,1,7034.703599292,913
2019-01-14,,Pro,2019,1,2,1
2019-01-14,Johor,Private,2019,1,43237.649459276,4908
2019-01-14,Johor,Pro,2019,1,52897.638793458,6953
2019-01-14,Kedah,Private,2019,1,29998.842897928,3136
2019-01-14,Kedah,Pro,2019,1,14137.162872564,1822
2019-01-14,Kelantan,Private,2019,1,38246.733639748,4128
2019-01-14,Kelantan,Pro,2019,1,13173.289722444,1686
2019-01-14,Kuala Lumpur,Private,2019,1,81669.375855218,8372
